"Heritage Institute of Technology, Kolkata",https://www.careers360.com/colleges/heritage-institute-of-technology-kolkata
"Reva University, Bangalore",https://www.careers360.com/university/reva-university-bangalore
"Punjab Engineering College, Chandigarh",https://www.careers360.com/university/punjab-engineering-college-chandigarh
"Nirma University, Ahmedabad",https://www.careers360.com/university/nirma-university-ahmedabad
National Institute of Technology Tiruchirappalli,https://www.careers360.com/university/national-institute-of-technology-tiruchirappalli
"Chandigarh University, Chandigarh",https://www.careers360.com/university/chandigarh-university-chandigarh
"Bangalore Institute of Technology, Bangalore",https://www.careers360.com/colleges/bangalore-institute-of-technology-bangalore
"KJ Somaiya College of Engineering, Mumbai",https://www.careers360.com/colleges/kj-somaiya-college-of-engineering-mumbai
"Symbiosis Institute of Technology, Pune",https://www.careers360.com/colleges/symbiosis-institute-of-technology-pune
Indian Institute of Technology Kharagpur,https://www.careers360.com/university/indian-institute-of-technology-kharagpur
Motilal Nehru National Institute of Technology Allahabad Prayagraj,https://www.careers360.com/university/motilal-nehru-national-institute-of-technology-allahabad-prayagraj
"Techno India University, Kolkata",https://www.careers360.com/university/techno-india-university-kolkata
"MIT College of Engineering, Pune",https://www.careers360.com/colleges/mit-college-of-engineering-pune
"Government College of Technology, Coimbatore",https://www.careers360.com/colleges/government-college-of-technology-coimbatore
"Army Institute of Technology, Pune",https://www.careers360.com/colleges/army-institute-of-technology-pune
"Birla Institute of Technology, Mesra",https://www.careers360.com/university/birla-institute-of-technology-mesra
"Sathyabama Institute of Science and Technology, Chennai",https://www.careers360.com/university/sathyabama-institute-of-science-and-technology-chennai
"Andhra University College of Engineering, Visakhapatnam",https://www.careers360.com/colleges/andhra-university-college-of-engineering-visakhapatnam
"Vishwakarma Institute of Technology, Pune",https://www.careers360.com/colleges/vishwakarma-institute-of-technology-pune
"Bannari Amman Institute of Technology, Erode",https://www.careers360.com/colleges/bannari-amman-institute-of-technology-erode
"Manipal University, Jaipur",https://www.careers360.com/university/manipal-university-jaipur
"University of Hyderabad, Hyderabad",https://www.careers360.com/university/university-of-hyderabad-hyderabad
"Integral University, Lucknow",https://www.careers360.com/university/integral-university-lucknow
"Indira Gandhi National Open University, New Delhi",https://www.careers360.com/university/indira-gandhi-national-open-university-new-delhi
"School of Engineering and Technology, Jain University, Bangalore",https://www.careers360.com/colleges/school-of-engineering-and-technology-jain-university-bangalore
Indian Institute of Technology Roorkee,https://www.careers360.com/university/indian-institute-of-technology-roorkee
Dr B R Ambedkar National Institute of Technology Jalandhar,https://www.careers360.com/university/dr-b-r-ambedkar-national-institute-of-technology-jalandhar
"Birla Institute of Technology and Science, Pilani",https://www.careers360.com/university/birla-institute-of-technology-and-science-pilani
"VIT University, Chennai",https://www.careers360.com/colleges/vit-university-chennai
School of Planning and Architecture Delhi,https://www.careers360.com/university/school-of-planning-and-architecture-delhi
"Manipal Institute of Technology, Manipal",https://www.careers360.com/colleges/manipal-institute-of-technology-manipal
"SRM Institute of Science and Technology, Vadapalani Campus",https://www.careers360.com/colleges/srm-institute-of-science-and-technology-vadapalani-campus
"Chitkara University, Patiala",https://www.careers360.com/university/chitkara-university-patiala
"University of Petroleum and Energy Studies, Dehradun",https://www.careers360.com/university/university-of-petroleum-and-energy-studies-dehradun
"Parul University, Vadodara",https://www.careers360.com/university/parul-university-vadodara
Indian Institute of Technology Bombay,https://www.careers360.com/university/indian-institute-of-technology-bombay
"Manipal Institute of Technology, Manipal",https://www.careers360.com/colleges/manipal-institute-of-technology-manipal
"College of Engineering, Pune",https://www.careers360.com/colleges/college-of-engineering-pune
"Dayananda Sagar College of Engineering, Bangalore",https://www.careers360.com/colleges/dayananda-sagar-college-of-engineering-bangalore
"SRM Institute of Science and Technology, Chennai",https://www.careers360.com/university/srm-institute-of-science-and-technology-chennai
"RV College of Engineering, Bangalore",https://www.careers360.com/colleges/rv-college-of-engineering-bangalore
